Time: 8.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.1, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 23.0, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 22.14, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 6.47, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 6.43, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.68, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.01, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.07, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.72, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.19, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.02, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.08, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.96, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.54, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.01, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.08, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.58, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.06, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.1, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.21, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.25, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.12, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.91, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.2, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 6.43, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.25, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.39, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.31, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 57.26, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.12, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.21, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.16, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.28, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.71, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.89, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.82, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 69.8, Collision Actor ID: 37, Collision Actor Type: walker.pedestrian.0006
Time: 145.4, Collision Actor ID: 50, Collision Actor Type: walker.pedestrian.0015
Time: 79.02, Collision Actor ID: 47, Collision Actor Type: vehicle.tesla.model3
Time: 40.27, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 37.54, Collision Actor ID: 0, Collision Actor Type: static.terrain
