Time(s)	Ax(m/s^2)	Ay(m/s^2)	A_mag(m/s^2)
1.770	0.0000	0.0000	0.0000
1.820	0.0000	0.0000	0.0000
1.870	0.0000	0.0000	0.0000
1.920	0.0000	0.0000	0.0000
1.970	0.0000	0.0000	0.0000
2.020	0.0000	0.0000	0.0000
2.070	0.0000	0.0000	0.0000
2.120	0.1561	0.0192	0.1573
2.170	-1.2491	0.1088	1.2538
2.220	0.8005	-0.2698	0.8447
2.270	13.7029	0.6881	13.7201
2.320	14.0184	0.5674	14.0299
2.370	11.3836	0.4700	11.3933
2.420	8.2010	0.2788	8.2057
2.470	6.3279	0.1737	6.3303
2.520	5.8623	0.3171	5.8709
2.570	5.6708	-0.0658	5.6712
2.620	5.3845	0.0190	5.3846
2.670	5.1544	0.0304	5.1545
2.720	4.9226	0.2224	4.9276
2.770	4.7485	-0.1645	4.7514
2.820	4.6225	-0.0532	4.6228
2.870	4.5368	-0.0251	4.5369
2.920	4.4741	-0.0213	4.4741
2.970	4.4355	-0.0259	4.4355
3.020	2.9512	-0.0524	2.9516
3.070	-0.3545	-0.0845	0.3644
3.120	1.8070	-0.0737	1.8085
3.170	1.7448	-0.0545	1.7456
3.220	3.3078	-0.0493	3.3082
3.270	2.8794	-0.0299	2.8796
3.320	4.1103	-0.0376	4.1105
3.370	3.4484	-0.0211	3.4485
3.420	4.4764	-0.0362	4.4766
3.470	3.7055	-0.0235	3.7055
3.520	4.6138	-0.0403	4.6140
3.570	3.8101	-0.0270	3.8102
3.620	4.6408	-0.0473	4.6411
3.670	3.8302	-0.0377	3.8304
3.720	4.6147	-0.0527	4.6150
3.770	3.8194	-0.0440	3.8197
3.820	4.5646	-0.0612	4.5650
3.870	3.7955	-0.0519	3.7959
3.920	4.5052	-0.0657	4.5056
3.970	3.7667	-0.0585	3.7671
4.020	4.4400	-0.0706	4.4405
4.070	3.7357	-0.0635	3.7363
4.120	4.3719	-0.0850	4.3727
4.170	3.7048	-0.0619	3.7053
4.220	4.3040	-0.0721	4.3046
4.270	3.6771	-0.0680	3.6778
4.320	4.2372	-0.0758	4.2379
4.370	3.6571	-0.0713	3.6578
4.420	4.1763	-0.0858	4.1772
4.470	3.6543	-0.0680	3.6550
4.520	4.1343	-0.0726	4.1349
4.570	3.7082	-0.0702	3.7089
4.620	4.0967	-0.0812	4.0975
4.670	3.6286	-0.0654	3.6292
4.720	3.8832	-0.0673	3.8838
4.770	3.5045	-0.0652	3.5051
4.820	3.7151	-0.0654	3.7157
4.870	3.4381	-0.0632	3.4387
4.920	3.5656	-0.0619	3.5661
4.970	3.3843	-0.0596	3.3849
5.020	3.4184	-0.0576	3.4189
5.070	3.3176	-0.0556	3.3181
5.120	3.3036	-0.0535	3.3040
5.170	3.2516	-0.0515	3.2520
5.220	3.2250	-0.0492	3.2254
5.270	3.1926	-0.0477	3.1930
5.320	3.1661	-0.0454	3.1664
5.370	3.1400	-0.0434	3.1403
5.420	3.1153	-0.0412	3.1156
5.470	3.0914	-0.0394	3.0917
5.520	3.0682	-0.0406	3.0684
5.570	3.0454	-0.0343	3.0456
5.620	3.0230	-0.0329	3.0232
5.670	3.0009	-0.0316	3.0011
5.720	2.9790	-0.0302	2.9792
5.770	2.9574	-0.0289	2.9576
5.820	2.9359	-0.0273	2.9360
5.870	2.9148	-0.0262	2.9149
5.920	2.8937	-0.0250	2.8938
5.970	2.8727	-0.0232	2.8728
6.020	2.8520	-0.0224	2.8521
6.070	2.8314	-0.0211	2.8315
6.120	2.8110	-0.0200	2.8111
6.170	2.7907	-0.0188	2.7908
6.220	2.7707	-0.0180	2.7707
6.270	2.7506	-0.0170	2.7506
6.320	2.7308	-0.0161	2.7308
6.370	2.7112	-0.0155	2.7112
6.420	2.6916	-0.0150	2.6916
6.470	2.6722	-0.0142	2.6722
6.520	2.6529	-0.0136	2.6529
6.570	2.6339	-0.0132	2.6339
6.620	2.6149	-0.0125	2.6149
6.670	2.5960	-0.0118	2.5960
6.720	2.5773	-0.0113	2.5773
6.770	2.5588	-0.0112	2.5588
6.820	2.5403	-0.0108	2.5403
6.870	2.5220	-0.0106	2.5220
6.920	2.5039	-0.0097	2.5039
6.970	2.4859	-0.0098	2.4859
7.020	2.4680	-0.0090	2.4680
7.070	2.4502	-0.0090	2.4502
7.120	2.4326	-0.0090	2.4326
7.170	2.4151	-0.0087	2.4151
7.220	2.3977	-0.0086	2.3977
7.270	2.3804	-0.0084	2.3804
7.320	2.3633	-0.0081	2.3633
7.370	2.3463	-0.0078	2.3464
7.420	2.3294	-0.0080	2.3294
7.470	2.3126	-0.0075	2.3126
7.520	2.2960	-0.0076	2.2960
7.570	2.2795	-0.0075	2.2796
7.620	2.2631	-0.0072	2.2631
7.670	2.2469	-0.0075	2.2469
7.720	2.2307	-0.0074	2.2307
7.770	2.2146	-0.0070	2.2146
7.820	2.1987	-0.0072	2.1987
7.870	2.1829	-0.0072	2.1829
7.920	1.5055	-0.0046	1.5056
7.970	-1.3077	0.0039	1.3077
8.020	-3.9112	0.0117	3.9112
8.070	-5.5281	0.0173	5.5281
8.120	-6.5876	0.0207	6.5877
8.170	-7.2778	0.0232	7.2778
8.220	-7.7169	0.0246	7.7169
8.270	-7.9828	-0.0611	7.9830
8.320	-8.1319	-0.5764	8.1523
8.370	-8.2098	-1.3271	8.3163
8.420	-8.2506	-2.1387	8.5233
8.470	-8.2153	-2.0361	8.4639
8.520	-8.3014	-3.8216	9.1388
8.570	-8.2407	-3.6722	9.0219
8.620	-8.3377	-4.8211	9.6312
8.670	-8.3343	-4.9665	9.7019
8.720	-8.8290	-7.1318	11.3496
8.770	-8.6740	-6.2788	10.7080
8.820	-8.4992	-5.5349	10.1426
8.870	-8.5453	-5.5597	10.1948
8.920	-8.2325	-4.3747	9.3227
8.970	-8.2441	-4.3447	9.3188
9.020	-8.0572	-3.6881	8.8612
