Time(s)	Ax(m/s^2)	Ay(m/s^2)	A_mag(m/s^2)
1.956	0.0000	0.0000	0.0000
2.006	0.0000	0.0000	0.0000
2.056	0.0000	0.0000	0.0000
2.106	0.0000	0.0000	0.0000
2.156	0.0000	0.0000	0.0000
2.206	0.0000	0.0000	0.0000
2.256	0.0000	0.0000	0.0000
2.306	0.1561	0.0192	0.1573
2.356	-1.2491	0.1088	1.2538
2.406	0.8005	-0.2698	0.8447
2.456	13.7029	0.6881	13.7201
2.506	14.0184	0.5674	14.0299
2.556	11.3814	0.5277	11.3936
2.606	8.2261	0.3731	8.2345
2.656	6.4544	0.0529	6.4546
2.706	5.7997	0.0865	5.8003
2.756	5.6286	0.0894	5.6293
2.806	5.3675	0.0554	5.3678
2.856	5.1456	0.0382	5.1457
2.906	4.9254	0.0145	4.9254
2.956	4.7404	0.0033	4.7404
3.006	4.6196	-0.0073	4.6196
3.056	4.5356	-0.0146	4.5356
3.106	4.4734	-0.0195	4.4735
3.156	4.4352	-0.0273	4.4353
3.206	2.9592	-0.0538	2.9597
3.256	-0.3576	-0.0868	0.3680
3.306	1.8054	-0.0751	1.8070
3.356	1.7443	-0.0568	1.7452
3.406	3.3079	-0.0503	3.3083
3.456	2.8790	-0.0308	2.8791
3.506	4.1089	-0.0380	4.1091
3.556	3.4512	-0.0233	3.4512
3.606	4.4847	-0.0370	4.4849
3.656	3.7264	-0.0173	3.7265
3.706	4.7732	-0.0364	4.7734
3.756	3.9136	-0.0450	3.9138
3.806	5.1011	-0.0476	5.1013
3.856	3.7370	-0.0170	3.7370
3.906	4.6778	-0.0489	4.6781
3.956	3.6727	-0.0602	3.6732
4.006	4.4577	-0.0646	4.4582
4.056	3.6842	-0.0476	3.6845
4.106	4.4251	-0.0661	4.4256
4.156	3.7101	-0.0601	3.7106
4.206	4.3997	-0.0711	4.4003
4.256	3.7086	-0.0638	3.7091
4.306	4.3538	-0.0741	4.3544
4.356	3.6924	-0.0679	3.6930
4.406	4.2947	-0.0763	4.2953
4.456	3.6718	-0.0705	3.6725
4.506	4.2328	-0.0771	4.2335
4.556	3.6546	-0.0716	3.6553
4.606	4.1738	-0.0767	4.1745
4.656	3.6535	-0.0722	3.6542
4.706	4.1334	-0.0757	4.1341
4.756	3.7087	-0.0717	3.7094
4.806	4.0942	-0.0737	4.0948
4.856	3.6263	-0.0700	3.6270
4.906	3.8805	-0.0700	3.8812
4.956	3.5033	-0.0668	3.5039
5.006	3.7130	-0.0661	3.7136
5.056	3.4374	-0.0633	3.4379
5.106	3.5635	-0.0619	3.5640
5.156	3.3835	-0.0594	3.3840
5.206	3.4166	-0.0576	3.4170
5.256	3.3167	-0.0555	3.3171
5.306	3.3023	-0.0535	3.3027
5.356	3.2507	-0.0515	3.2511
5.406	3.2241	-0.0541	3.2246
5.456	3.1919	-0.0448	3.1922
5.506	3.1654	-0.0482	3.1657
5.556	3.1392	-0.0400	3.1395
5.606	3.1146	-0.0389	3.1149
5.656	3.0908	-0.0380	3.0911
5.706	3.0676	-0.0369	3.0678
5.756	3.0447	-0.0356	3.0449
5.806	3.0224	-0.0341	3.0226
5.856	3.0003	-0.0322	3.0005
5.906	2.9784	-0.0306	2.9785
5.956	2.9568	-0.0290	2.9570
6.006	2.9354	-0.0277	2.9355
6.056	2.9141	-0.0263	2.9143
6.106	2.8931	-0.0245	2.8932
6.156	2.8721	-0.0232	2.8722
6.206	2.8514	-0.0223	2.8515
6.256	2.8309	-0.0210	2.8309
6.306	2.8104	-0.0211	2.8105
6.356	2.7901	-0.0185	2.7902
6.406	2.7701	-0.0178	2.7701
6.456	2.7501	-0.0170	2.7501
6.556	2.7204	-0.0163	2.7205
6.606	2.6910	-0.0141	2.6911
6.656	2.6717	-0.0140	2.6717
6.706	2.6523	-0.0130	2.6524
6.756	2.6333	-0.0129	2.6334
6.806	2.6144	-0.0124	2.6144
6.856	2.5955	-0.0121	2.5955
6.906	2.5768	-0.0114	2.5768
6.956	2.5582	-0.0110	2.5582
7.006	2.5398	-0.0107	2.5398
7.056	2.5216	-0.0102	2.5216
7.106	2.5034	-0.0099	2.5034
7.156	2.4854	-0.0097	2.4854
7.206	2.4675	-0.0094	2.4675
7.256	2.4497	-0.0092	2.4497
7.306	2.4320	-0.0088	2.4320
7.356	2.4146	-0.0087	2.4146
7.406	2.3972	-0.0083	2.3972
7.456	2.3799	-0.0083	2.3799
7.506	2.3628	-0.0082	2.3628
7.556	2.3458	-0.0079	2.3459
7.606	2.3289	-0.0081	2.3289
7.656	2.3121	-0.0076	2.3121
7.706	2.2955	-0.0076	2.2955
7.756	2.2791	-0.0076	2.2791
7.806	2.2626	-0.0073	2.2627
7.856	2.2463	-0.0073	2.2463
7.906	2.2302	-0.0075	2.2302
7.956	2.2142	-0.0072	2.2142
8.006	2.1983	-0.0072	2.1983
8.056	2.1825	-0.0071	2.1825
8.206	-1.2382	0.0041	1.2382
8.406	-6.7782	0.0213	6.7782
8.506	-8.0554	-0.0232	8.0555
8.556	-8.2181	-1.6463	8.3814
8.606	-8.2631	-2.3366	8.5871
8.656	-8.2882	-3.0509	8.8319
8.706	-8.2993	-3.6524	9.0674
8.756	-8.3006	-4.1213	9.2674
8.806	-8.2951	-4.4520	9.4143
8.856	-8.2844	-4.6497	9.5001
8.906	-8.7844	-6.9401	11.1951
8.956	-8.6474	-6.1418	10.6066
9.006	-8.4896	-5.4549	10.0911
9.056	-8.4059	-5.0645	9.8137
9.106	-8.2915	-4.5675	9.4663
9.156	-8.1807	-4.1376	9.1676
9.206	-8.0012	-3.5404	8.7495
9.256	-7.9297	-3.3222	8.5975
9.306	-7.8420	-3.0639	8.4193
9.356	-7.6288	-2.5422	8.0413
