Time(s)	CPU_Usage(%)
2.026	21.70
2.079	10.70
2.123	12.90
2.148	19.00
2.175	15.00
2.199	15.40
2.224	17.90
2.250	14.60
2.271	20.00
2.298	19.50
2.322	11.40
2.347	19.50
2.371	15.80
2.391	16.10
2.417	17.10
2.439	14.70
2.463	11.40
2.486	17.90
2.509	14.70
2.533	13.20
2.556	21.10
2.582	12.20
2.602	16.10
2.629	17.10
2.652	18.40
2.678	17.10
2.703	15.80
2.728	15.80
2.750	16.70
2.774	15.80
2.796	16.70
2.820	16.20
2.845	13.20
2.869	15.80
2.891	16.70
2.915	13.90
2.938	16.20
2.961	16.70
2.985	15.40
3.105	12.30
3.163	13.30
3.183	27.30
3.202	24.10
3.221	23.30
3.241	19.40
3.260	22.60
3.279	17.90
3.298	23.30
3.319	24.20
3.338	23.30
3.357	21.40
3.377	21.90
3.396	23.30
3.416	25.80
3.435	27.30
3.455	21.90
3.475	20.70
3.494	23.30
3.514	20.00
3.532	20.70
3.551	17.20
3.570	20.00
3.590	22.60
3.609	17.20
3.629	20.00
3.648	25.80
3.667	25.00
3.686	17.90
3.709	27.80
3.726	23.10
3.749	22.90
3.770	32.40
3.789	23.30
3.808	21.40
3.828	22.60
3.845	28.60
3.866	25.80
3.887	29.40
3.904	30.80
3.923	29.00
3.943	31.30
3.964	25.80
3.982	28.60
4.002	29.40
4.021	20.70
4.041	23.30
4.062	27.80
4.080	25.00
4.099	20.70
4.117	21.40
4.136	23.30
4.155	17.20
4.175	20.00
4.195	24.20
4.216	24.20
4.248	20.00
4.267	23.30
4.287	22.60
4.306	25.00
4.325	20.70
4.345	20.00
4.363	24.10
4.382	27.60
4.402	20.00
4.421	28.10
4.441	25.80
4.460	23.30
4.480	23.30
4.499	25.80
4.518	24.10
4.538	31.30
4.557	25.80
4.575	27.60
4.595	22.60
4.614	24.10
4.634	25.80
4.652	27.60
4.671	23.30
4.690	20.70
4.710	28.10
4.729	21.40
4.748	26.70
4.768	20.70
4.788	30.30
4.807	28.10
4.827	23.30
4.846	24.10
4.867	29.40
4.884	33.30
4.904	27.60
4.924	29.00
4.943	26.70
4.964	24.20
4.983	30.00
5.003	28.10
5.020	25.00
5.040	19.40
5.059	23.30
5.080	17.60
5.099	14.30
5.119	24.20
5.139	12.90
5.158	16.70
5.178	13.80
5.197	21.90
5.238	14.10
5.254	16.70
5.275	19.40
5.294	24.10
5.313	36.40
5.332	25.90
5.352	25.00
5.372	25.80
5.390	25.00
5.409	24.10
5.428	26.70
5.447	25.80
5.467	23.30
5.485	23.10
5.505	26.50
5.523	20.00
5.543	25.00
5.562	23.30
5.581	23.30
5.600	23.30
5.620	17.90
5.639	22.60
5.658	17.90
5.677	20.00
5.696	17.20
5.715	22.60
5.734	14.80
5.753	16.70
5.772	22.60
5.792	14.30
5.811	17.20
5.830	18.70
5.924	11.60
5.981	14.00
6.000	23.30
6.019	31.30
6.038	20.00
6.058	23.30
6.077	25.80
6.096	26.70
6.115	20.70
6.135	22.60
6.154	24.10
6.175	24.20
6.195	27.30
6.213	25.00
6.235	28.60
6.253	28.60
6.271	21.40
6.289	26.70
6.309	28.10
6.328	20.70
6.347	26.70
6.367	25.80
6.386	18.50
6.405	24.10
6.426	25.00
6.446	25.00
6.465	25.00
6.486	21.90
6.504	24.10
6.524	22.60
6.543	25.80
6.563	23.30
6.583	27.30
6.604	19.40
6.624	25.80
6.643	23.30
6.663	27.60
6.682	25.80
6.700	25.00
6.721	25.00
6.740	20.70
6.760	29.40
6.780	23.30
6.800	25.80
6.819	25.80
6.839	25.80
6.859	22.60
6.879	29.00
6.897	26.70
6.920	26.50
6.938	28.60
6.957	29.00
6.976	28.10
6.997	22.60
7.015	27.60
7.035	24.10
7.055	25.80
7.075	28.10
7.094	24.10
7.115	30.30
7.134	24.10
7.154	32.30
7.174	27.60
7.193	26.70
7.214	21.40
7.234	32.40
7.253	26.70
7.274	29.00
7.294	25.80
7.314	26.70
7.333	26.70
7.355	31.40
7.373	26.90
7.393	29.00
7.413	33.30
7.433	33.30
7.454	31.30
7.474	23.30
7.494	35.50
7.514	28.10
7.535	25.80
7.555	27.60
7.576	29.40
7.597	20.60
7.617	20.00
7.637	23.50
7.658	16.70
7.679	18.20
7.699	21.90
7.719	21.20
7.741	20.60
7.761	19.40
7.781	25.00
7.801	16.10
7.822	13.30
7.843	18.70
7.863	21.90
7.884	21.20
7.904	19.40
7.926	20.60
7.946	24.20
7.966	19.40
7.986	19.40
8.009	17.10
8.030	22.60
8.073	14.90
8.092	21.40
8.112	21.90
8.136	27.80
8.156	27.60
8.176	26.50
8.196	19.40
8.217	27.30
8.238	19.40
8.257	18.50
8.277	21.90
8.297	20.70
8.318	21.20
8.338	20.00
8.358	19.40
8.380	21.90
8.400	24.20
8.420	20.00
8.441	25.80
8.460	28.10
8.482	13.30
8.502	24.20
8.522	24.20
8.543	27.30
8.563	20.00
8.584	22.60
8.603	20.00
8.624	21.90
8.644	21.90
8.666	28.60
8.761	14.80
8.821	15.10
8.840	26.70
8.861	33.30
8.881	29.00
8.900	28.60
8.921	28.10
8.942	30.30
8.963	28.10
8.982	32.30
9.003	25.80
9.023	31.30
9.043	29.00
9.063	29.00
9.083	26.70
9.104	27.30
9.124	27.60
9.145	30.30
9.165	28.10
9.186	31.20
9.206	29.00
9.226	25.80
9.246	31.20
9.266	24.10
9.287	28.10
9.307	30.30
9.327	31.30
9.348	25.80
9.366	28.60
9.387	30.30
9.408	23.30
9.429	32.40
9.447	27.60
9.467	35.70
9.486	34.40
9.507	33.30
9.526	31.00
9.546	26.70
9.565	26.70
9.585	22.60
9.606	28.10
9.625	28.60
9.642	26.90
9.662	27.60
9.682	30.00
9.701	27.60
9.720	22.60
9.739	17.90
9.759	25.80
9.778	26.70
9.797	27.60
9.818	16.10
9.838	22.60
9.857	26.70
9.898	14.30
9.914	35.70
9.933	24.10
9.954	26.70
9.973	30.00
9.992	23.30
10.013	35.30
10.032	20.70
10.053	24.20
10.073	22.60
10.094	20.70
10.113	23.30
10.133	25.00
10.153	23.30
10.171	22.20
10.192	24.20
10.211	24.10
10.230	20.70
10.250	25.80
10.268	19.20
10.287	23.30
10.306	20.00
10.325	25.80
10.345	23.30
10.364	17.90
10.383	29.00
10.403	21.40
10.422	23.30
10.443	27.30
10.460	23.10
10.480	16.70
10.577	13.10
10.635	13.80
10.653	28.60
10.674	34.40
10.693	25.90
10.712	37.50
10.731	25.90
10.752	30.30
10.772	29.00
10.792	30.00
10.815	31.30
10.834	31.00
10.853	27.60
10.874	25.80
10.894	33.30
10.914	30.00
10.935	30.00
10.955	32.30
10.975	28.10
10.995	20.00
11.015	25.80
11.036	27.80
11.055	21.40
11.075	23.30
11.096	33.30
11.116	23.30
11.137	28.60
11.156	32.10
11.177	32.30
11.196	29.00
11.217	29.00
11.237	33.30
11.257	26.50
11.278	32.30
11.299	29.00
11.319	32.30
11.339	27.60
11.360	25.00
11.380	20.00
11.401	25.00
11.421	17.20
11.442	22.60
11.462	23.30
11.483	26.50
11.502	21.40
11.524	20.60
11.544	22.60
11.564	20.70
11.585	21.90
11.604	25.00
11.625	21.20
11.645	22.60
11.666	16.70
11.686	27.30
11.729	17.90
11.746	34.60
11.767	30.30
11.786	38.70
11.806	31.00
11.826	33.30
11.846	27.60
11.867	25.00
11.887	30.30
11.907	23.30
11.928	25.00
11.948	25.80
11.968	23.30
11.988	23.30
12.008	28.10
12.028	22.60
12.049	25.00
12.069	25.80
12.090	25.80
12.110	22.60
12.130	23.30
12.151	27.30
12.171	25.80
12.192	22.60
12.212	27.30
12.232	17.90
12.253	21.90
12.273	25.80
12.294	20.00
12.316	26.50
12.378	18.70
12.481	16.80
12.520	20.00
12.540	31.30
12.562	27.30
12.582	25.80
12.602	26.70
12.622	25.00
12.643	25.00
12.663	25.80
12.683	20.70
12.704	26.50
12.725	27.30
12.746	26.50
12.766	24.10
12.786	28.10
12.806	25.00
12.827	24.10
12.848	26.50
12.867	25.00
12.887	28.10
12.909	21.20
12.928	25.80
12.951	24.20
12.969	30.00
12.990	25.80
13.010	26.50
13.031	26.50
13.051	24.10
13.071	25.00
13.092	25.80
13.113	22.60
13.133	30.30
13.152	26.70
13.173	25.80
13.196	33.30
13.214	26.70
13.235	25.00
13.256	21.90
13.276	28.10
13.297	22.60
13.318	27.30
13.338	23.30
13.358	27.30
13.379	23.30
13.399	31.40
13.420	23.30
13.440	31.00
13.460	36.40
13.481	33.30
13.500	22.20
13.520	23.30
13.541	16.70
13.561	31.30
13.605	17.40
13.623	26.90
13.643	33.30
13.662	37.50
13.684	34.30
13.705	31.00
13.725	33.30
13.745	24.10
13.767	21.90
13.787	30.30
13.807	27.60
13.828	25.00
13.847	31.30
13.868	24.10
13.888	24.10
13.909	30.30
13.929	30.00
13.949	34.40
13.970	26.70
13.990	31.30
14.011	37.50
14.032	35.30
14.051	41.40
14.072	35.50
14.093	36.40
14.111	29.60
14.133	34.30
14.153	35.50
14.171	34.50
14.192	29.00
14.212	25.80
14.233	22.90
14.329	13.90
14.424	12.40
14.465	14.80
14.487	28.60
14.506	27.60
14.528	28.10
14.548	26.70
14.568	22.60
14.589	25.80
14.611	25.00
14.630	31.30
14.650	24.10
14.670	27.30
14.691	25.00
14.712	25.80
14.733	28.10
14.753	20.70
14.775	25.00
14.796	30.30
14.817	29.40
14.838	29.40
14.859	29.00
14.880	40.60
14.901	25.80
14.921	34.40
14.942	29.40
14.963	31.00
14.983	30.00
15.005	38.20
15.026	40.00
15.046	25.00
15.067	20.70
15.088	39.40
15.109	29.00
15.128	34.50
15.150	40.50
15.170	31.00
15.191	28.10
15.211	28.10
15.232	23.30
15.251	26.70
15.272	25.00
15.293	28.10
15.314	25.80
15.334	30.30
15.355	23.30
15.376	21.90
15.398	27.30
15.418	25.00
15.438	24.10
15.460	26.50
15.481	25.00
15.501	27.30
15.542	17.20
15.562	32.30
15.582	29.00
15.603	31.20
15.623	35.50
15.644	27.60
15.664	28.10
15.683	25.00
15.705	25.00
15.724	25.90
15.743	31.20
15.763	29.00
15.783	29.00
15.804	25.80
15.824	25.80
15.845	30.30
15.865	27.60
15.886	36.10
15.905	25.90
15.926	31.20
15.946	25.00
15.965	30.00
15.985	25.80
16.005	26.70
16.025	23.30
16.047	25.00
16.066	31.30
16.087	25.80
16.108	23.30
16.128	25.80
16.148	17.20
16.246	16.00
16.366	14.10
16.385	41.20
16.407	35.30
16.428	37.50
16.448	36.70
16.466	35.70
16.487	33.30
16.506	35.70
16.525	41.40
16.546	33.30
16.568	34.30
16.590	29.00
16.610	36.40
16.631	34.40
16.651	36.70
16.671	29.00
16.694	35.30
16.714	33.30
16.737	33.30
16.758	32.40
16.778	31.00
16.799	36.40
16.820	29.00
16.840	30.00
16.861	33.30
16.882	40.00
16.902	39.40
16.922	31.00
16.943	33.30
16.964	34.40
16.985	27.60
17.005	35.50
17.027	42.40
17.048	36.40
17.069	32.30
17.092	48.60
17.111	37.00
17.130	32.30
17.152	36.40
17.171	45.20
17.194	43.70
17.213	46.70
17.234	32.30
17.254	48.50
17.275	43.30
17.296	48.40
17.315	33.30
17.335	33.30
17.356	38.20
17.376	36.70
17.396	32.30
17.417	34.40
17.438	35.50
17.457	34.40
17.478	22.60
17.498	25.80
17.519	30.30
17.538	31.00
17.559	25.00
17.580	31.30
17.598	31.00
17.619	25.80
17.638	24.10
17.657	25.00
17.677	29.00
17.696	35.50
17.715	28.60
17.734	30.00
17.755	27.30
17.775	25.00
17.797	32.40
17.816	31.30
17.837	28.10
17.856	30.00
17.877	30.30
17.898	25.00
17.917	30.00
17.937	17.90
17.958	27.30
17.980	28.60
18.001	23.30
18.022	29.00
18.042	29.00
18.062	20.70
18.082	30.30
18.102	25.80
18.122	23.30
18.143	27.30
18.163	26.70
18.184	25.00
18.204	30.30
18.226	27.30
18.247	24.10
18.268	32.40
18.288	31.20
18.308	23.30
18.329	25.80
18.349	28.10
18.369	28.10
18.390	23.30
18.410	28.10
18.431	29.00
18.473	19.70
18.489	31.80
18.510	33.30
18.530	33.30
18.550	35.70
18.569	38.70
18.589	31.00
18.608	31.20
18.628	35.50
18.648	32.30
18.666	35.70
18.686	32.30
18.706	34.40
18.724	30.80
18.745	29.40
18.765	21.40
18.786	30.30
18.806	31.00
18.824	29.60
18.845	29.40
18.863	24.00
18.883	30.30
18.905	29.40
18.925	29.00
18.946	36.40
18.965	28.60
18.986	26.70
19.004	33.30
19.025	26.70
19.044	34.40
19.064	21.40
19.086	26.50
19.183	15.50
19.300	16.80
19.319	37.90
19.340	33.30
19.360	36.40
19.380	36.70
19.400	36.40
19.421	34.50
19.442	32.30
19.463	48.50
19.483	38.70
19.503	40.60
19.523	33.30
19.543	31.00
19.564	34.40
19.584	35.50
19.604	34.40
19.626	35.30
19.644	29.60
19.665	38.20
19.687	32.30
19.706	37.90
19.727	36.40
19.748	34.40
19.768	33.30
19.788	34.40
19.809	39.40
19.829	32.30
19.849	33.30
19.870	30.30
19.891	39.40
19.911	35.50
19.932	37.50
19.951	36.70
19.972	34.40
19.994	32.30
20.014	42.40
20.033	43.30
20.054	32.40
20.075	34.40
20.096	37.50
20.116	35.50
20.136	34.40
20.157	37.50
20.177	37.50
20.197	35.50
20.217	37.90
20.238	37.50
20.258	31.00
20.278	39.40
20.299	40.60
20.319	34.40
20.339	38.70
20.360	34.40
20.379	35.50
20.400	39.40
20.420	37.50
20.441	31.00
20.461	40.60
20.480	43.30
20.503	51.40
20.524	43.30
20.544	43.70
20.564	46.40
20.585	36.40
20.605	45.20
20.627	48.50
20.647	33.30
20.668	48.50
20.688	30.80
20.709	48.50
20.731	45.50
20.751	50.00
20.771	46.40
20.792	40.00
20.813	36.40
20.834	34.40
20.854	38.70
20.877	35.30
20.897	42.40
20.920	41.20
20.943	41.20
20.964	33.30
20.984	32.30
21.005	37.50
21.026	41.90
21.045	43.30
21.067	45.70
21.087	43.80
21.109	41.90
21.130	43.70
21.149	41.40
21.169	41.90
21.190	36.40
21.210	33.30
21.232	34.40
21.253	36.40
21.273	37.50
21.294	37.50
21.314	36.70
21.335	40.00
21.356	33.30
21.377	37.50
21.397	42.40
21.417	35.50
21.438	36.40
21.459	36.40
21.480	41.90
21.500	40.60
21.521	35.50
21.540	37.90
21.562	40.50
21.582	34.50
21.602	36.40
21.623	31.20
21.645	37.10
21.665	31.00
21.686	34.40
21.706	33.30
21.728	35.30
21.748	35.50
21.768	37.50
21.790	33.30
21.811	32.30
21.831	36.70
21.851	40.00
21.872	35.50
21.892	37.50
21.914	40.60
21.937	43.20
21.957	34.40
21.980	29.00
22.001	34.40
22.022	41.20
22.044	42.40
22.063	41.40
22.084	46.90
22.105	40.60
22.125	38.70
22.146	41.20
22.166	38.70
22.187	37.50
22.206	36.70
22.228	33.30
22.249	36.40
22.270	34.40
22.291	34.40
22.311	40.60
22.331	28.60
22.354	27.30
22.375	29.00
22.396	31.30
22.416	26.70
22.437	31.30
22.458	32.30
22.478	40.60
22.497	31.00
22.519	33.30
22.540	37.50
22.560	35.50
22.581	37.50
22.600	33.30
22.621	33.30
22.642	37.50
22.662	32.30
22.682	31.00
22.704	38.20
22.724	34.50
22.744	33.30
22.765	35.50
22.784	35.50
22.805	36.40
22.825	24.10
22.846	30.30
22.867	26.70
22.887	32.30
22.907	26.70
22.928	28.10
22.949	25.80
22.969	32.40
22.991	25.00
23.010	25.00
23.031	30.30
23.052	25.80
23.073	34.30
23.095	23.30
23.114	34.40
23.136	31.30
23.156	35.50
23.177	32.40
23.197	29.00
23.218	30.30
23.239	29.00
23.260	30.30
23.280	26.70
23.301	31.20
23.322	25.80
23.342	26.70
23.363	30.30
23.403	19.40
23.423	34.50
23.443	31.00
23.463	44.40
23.484	42.40
23.504	27.60
23.524	34.40
23.544	34.40
23.564	27.60
23.586	28.10
23.606	30.00
23.627	29.00
23.646	35.50
23.666	33.30
23.687	31.20
23.707	30.00
23.728	29.00
23.748	31.20
23.769	25.00
23.789	31.20
23.809	29.00
23.829	35.50
23.850	31.30
23.869	28.60
23.890	29.00
23.910	33.30
