Time: 49.65, Collision Actor ID: 48, Collision Actor Type: vehicle.audi.a2
Time: 82.7, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 79.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 48.13, Collision Actor ID: 355, Collision Actor Type: vehicle.audi.a2
Time: 79.73, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.27, Collision Actor ID: 48, Collision Actor Type: vehicle.audi.a2
Time: 88.02, Collision Actor ID: 76, Collision Actor Type: vehicle.audi.a2
Time: 47.59, Collision Actor ID: 52, Collision Actor Type: vehicle.audi.a2
Time: 43.63, Collision Actor ID: 48, Collision Actor Type: vehicle.audi.a2
Time: 60.17, Collision Actor ID: 60, Collision Actor Type: vehicle.tesla.model3
Time: 40.35, Collision Actor ID: 47, Collision Actor Type: vehicle.audi.a2
Time: 54.55, Collision Actor ID: 55, Collision Actor Type: vehicle.audi.a2
Time: 63.1, Collision Actor ID: 60, Collision Actor Type: vehicle.tesla.model3
Time: 80.45, Collision Actor ID: 67, Collision Actor Type: vehicle.tesla.model3
Time: 80.95, Collision Actor ID: 62, Collision Actor Type: vehicle.audi.a2
Time: 51.69, Collision Actor ID: 48, Collision Actor Type: vehicle.audi.a2
Time: 51.03, Collision Actor ID: 48, Collision Actor Type: vehicle.audi.a2
Time: 80.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.86, Collision Actor ID: 48, Collision Actor Type: vehicle.audi.a2
